zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,companyOfficers,website,maxAge,address1,fax,industry,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,recommendationKey,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,recommendationMean,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,totalAssets,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,yield,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,beta,enterpriseValue,priceHint,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,lastDividendDate,morningStarOverallRating,earningsQuarterlyGrowth,priceToSalesTrailing12Months,dateShortInterest,pegRatio,ytdReturn,forwardPE,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,impliedSharesOutstanding,category,fiveYearAverageReturn,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,algorithm,dividendRate,exDividendDate,circulatingSupply,startDate,regularMarketDayLow,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,dayLow,ask,askSize,volume,fiftyTwoWeekHigh,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,regularMarketPrice,preMarketPrice,logo_url,address2,err,quoteSourceName,averageDailyVolume3Month,regularMarketTime,regularMarketChange,currencySymbol,exchangeDataDelayedBy,postMarketChange,postMarketPrice,exchangeName,preMarketChange,regularMarketSource,marketState,underlyingSymbol,preMarketSource,regularMarketChangePercent,preferredPosition,bondPosition,convertiblePosition,sectorWeightings,holdings,bondHoldings,bondRatings,equityHoldings,otherPosition,cashPosition,stockPosition,underlyingExchangeSymbol,headSymbol,uuid,postMarketTime,postMarketSource,postMarketChangePercent,preMarketTime,preMarketChangePercent
55474,Financial Services,12300,"Ameriprise Financial, Inc., through its subsidiaries, provides various financial products and services to individual and institutional clients in the United States and internationally. It operates through four segments: Advice & Wealth Management, Asset Management, Retirement & Protection Solutions, and Corporate & Other. The Advice & Wealth Management segment provides financial planning and advice; brokerage products and services for retail and institutional clients; discretionary and non-discretionary investment advisory accounts; mutual funds; insurance and annuities products; cash management and banking products; and face-amount certificates. The Asset Management segment offers investment management and advice, and investment products to retail, high net worth, and institutional clients through unaffiliated third-party financial institutions and institutional sales force. This segment products also include U.S. mutual funds and their non-U.S. equivalents, exchange-traded funds, variable product funds underlying insurance, and annuity separate accounts; and institutional asset management products, such as traditional asset classes, separately managed accounts, individually managed accounts, collateralized loan obligations, hedge funds, collective funds, and property and infrastructure funds. The Retirement & Protection Solutions segment provides variable annuity products to individual clients, as well as life and DI insurance products to retail clients. The company was formerly known as American Express Financial Corporation and changed its name to Ameriprise Financial, Inc. in September 2005. Ameriprise Financial, Inc. was founded in 1894 and is headquartered in Minneapolis, Minnesota.",Minneapolis,612 671 2052,MN,United States,[],http://www.ameriprise.com,1,55 Ameriprise Financial Center,,Asset Management,0.17076,0.08207,0.40233,851000000,0.253,0.15296,2216000000,265,buy,5816000000,-1524499968,295,298.2,,2.549,0.0076,8,292.5,108.143,0.17479,317,8632999936,6149000192,12977000448,75.897,USD,107.693,1.79,1.9,NYQ,"Ameriprise Financial, Inc.","Ameriprise Financial, Inc.",America/New_York,EDT,TRUE,-14400000,EQUITY,AMP,finmb_4165019,us_market,,2.201,,12.887,,,22.56,,115905000,,,,47.436,2169103,0.0191,,1609372800,0.85398,1065000000,-0.532,,,6.286365,0.00214,1672444800,,1625011200,4.97,1626307200,113393325,1.682625,28558403584,2,,,,,,,,2.6633945,1628812800,1.34,,13.218086,,0.0217,2166524,,,,296.11,296.62,260.38007,0.014048833,0.4786,,298.94,,398200,296.11,274.53293,4.16,296.62,,398200,,,4.52,1628208000,,,295.32,USD,,606980,,,,34562871296,,,440829,295.32,0,800,606980,298.94,,2.41,155.33,0,FALSE,0.0166,800,298.94,298.2,,https://logo.clearbit.com/ameriprise.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9c37cba6-d890-3746-852b-1fb10c11ab1b,,,,,
91730,Healthcare,1980,"Amphastar Pharmaceuticals, Inc., a specialty pharmaceutical company, develops, manufactures, markets, and sells generic and proprietary injectable, inhalation, and intranasal products in the United States, China, and France. The company operates through two segments, Finished Pharmaceutical Products and API. It offers Primatene Mist, an over-the-counter epinephrine inhalation product for the temporary relief of mild symptoms of intermittent asthma; Enoxaparin, a low molecular weight heparin to prevent and treat deep vein thrombosis; Naloxone for opioid overdose; Glucagon for injection emergency kit; and Cortrosyn, a lyophilized powder for use as a diagnostic agent in the screening of patients with adrenocortical insufficiency. The company also provides Amphadase, a bovine-sourced hyaluronidase injection to absorb and disperse other injected drugs; Epinephrine injection for the emergency treatment of allergic reactions; lidocaine jelly, an anesthetic product for urological procedures; lidocaine topical solution for various procedures; phytonadione injection, a vitamin K1 injection for newborn babies; emergency syringe products for emergency use in hospital settings; morphine injection for use with patient controlled analgesia pumps; and lorazepam injection for surgery and medical procedures. In addition, it offers procainamide for documented ventricular arrhythmias; neostigmine methylsulfate injection to treat myasthenia gravis and to reverse the effects of muscle relaxants; medroxyprogesterone acetate injectable suspension for the prevention of pregnancy; and Isoproterenol hydrochloride injection for mild or transient episodes of heart block, as well as manufactures and distributes recombinant human insulin active pharmaceutical ingredients (API) and porcine insulin API. It serves hospitals, care facilities, alternate care sites, clinics, and doctors' offices. The company was founded in 1996 and is headquartered in Rancho Cucamonga, California.",Rancho Cucamonga,909 980 9484,CA,United States,[],http://www.amphastar.com,1,11570 6th Street,,Drug Manufacturers—Specialty & Generic,0.11189,0.00678,0.41139,78614000,0.216,0.05074,41195000,20,buy,143340000,61724752,23,19.19,0.25,2.362,0.01916,4,22.75,14.341,0.0035,25,115132000,64673000,368177984,2.417,USD,7.781,1.525,2.5,NMS,"Amphastar Pharmaceuticals, Inc.","Amphastar Pharmaceuticals, Inc.",America/New_York,EDT,FALSE,-14400000,EQUITY,AMPH,finmb_2003650,us_market,,2.6,,23.235,,,1.39,,47635400,,,,8.499,2604053,0.0547,,1609372800,0.55955005,2495000,0.052,,,2.2579129,0.23612,1672444800,,1617148800,15.65,1619740800,36665882,0.713586,957177088,2,,,,,,,0.277,2.48283,1622160000,0.77,,13.805756,,0.0673,2627064,,,,19.26,19.25,19.25741,,0,,19.41,,94966,19.26,18.847647,,19.25,,94966,,,,,,,19.1006,USD,369.03845,103698,,,,914123328,,,151415,19.1006,0,800,103698,21.63,,,16.91,0,FALSE,,800,19.41,19.19,,https://logo.clearbit.com/amphastar.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287241c5-4a99-3b7c-9252-8dd38caf7256,,,,,
1701,Industrials,1141,"Ameresco, Inc. provides comprehensive energy services for businesses and organizations in the United States, Canada, and internationally. It offers energy efficiency, infrastructure upgrades, energy security and resilience, asset sustainability, and renewable energy solutions. The company operates through U.S. Regions, U.S. Federal, Canada, and Non-Solar Distributed Generation segments. It designs, develops, engineers, and installs projects that reduce the energy, as well as operations and maintenance costs of customers' facilities. The company's projects primarily include various measures customized for the facility and designed to enhance the efficiency of building systems, such as heating, ventilation, cooling, and lighting systems. It also offers renewable energy products and services, such as the construction of small-scale plants for customers that produce electricity, gas, heat, or cooling from renewable sources of energy; and sells electricity and processed renewable gas fuel, heat, or cooling. In addition, the company provides integrated- photovoltaic (PV) and consulting, and enterprise energy management services; sells solar PV energy products and systems; and owns and operates a wind power project located in Ireland. It serves federal, state, and local governments, as well as healthcare and educational institutions, airports, public housing authorities and public universities, and commercial and industrial customers. As of December 31, 2020, the company owned and operated 130 small-scale renewable energy plants and solar PV installations. Ameresco, Inc. was founded in 2000 and is headquartered in Framingham, Massachusetts.",Framingham,508 661 2200,MA,United States,[],http://www.ameresco.com,1,111 Speen Street,,Engineering & Construction,0.11108,0.052360002,0.18169,-102583000,0.025,0.07026,114661000,67,buy,187549000,-88660624,73,72.29,0.044,1.281,0.02902,11,73.82,164.23,0.114750005,80,66422000,873150016,1032275008,1.377,USD,21.64,1.089,1.7,NYQ,"Ameresco, Inc.","Ameresco, Inc.",America/New_York,EDT,FALSE,-14400000,EQUITY,AMRC,finmb_1795267,us_market,,3.068,,27.617,,,1.43,,33265900,,,,10.219,1585375,0.0309,,1609372800,0.73418,53931000,1.1,,,7.074078,0.084350005,1672444800,,1609372800,2.33,1615766400,27315408,0.524338,3166535936,2,,1279584000,2:01,,,,0.058,3.308145,1618444800,3.76,,46.94156,,0.051799998,1291120,,,,68.05,68.5,60.485035,,0,,72.73,,225600,68.05,64.02,,68.5,,225600,,,,,,,68.37,USD,53.707283,461434,,,,3714874624,,,266356,68.37,0,800,461434,75.88,,,37.11,0,FALSE,,1800,72.73,72.29,,https://logo.clearbit.com/ameresco.com,Suite 410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1432,Industrials,225,"American Superconductor Corporation, together with its subsidiaries, provides megawatt-scale power resiliency solutions worldwide. The company operates in two segments, Grid and Wind. The Grid segment offers products and services that enable electric utilities, industrial facilities, and renewable energy project developers to connect, transmit, and distribute power under the Gridtec Solutions brand; and engineering planning services. It provides transmission planning services, which identify power grid congestion, poor power quality, and other risks; grid interconnection solutions for wind farms and solar power plants, power quality systems, and transmission and distribution cable systems; resilient electric grid systems, which provide protection against the adverse effects that follow the loss of critical substation facilities in urban areas; D-VAR systems used for controlling power flow and voltage in the AC transmission system; actiVAR system, a fast-switching medium-voltage reactive compensation solution; armorVAR system installed for reactive compensation, power factor correction, loss reduction, utility bill savings, and mitigation of common power quality concerns related to power converter-based generation and load devices; and D-VAR volt var optimization (VVO) that serves the distribution power grid market. This segment also offers ship protection systems, which reduce a naval ship's magnetic signature; and in board power delivery systems, power generation systems, and propulsion systems. The Wind segment designs wind turbine systems and licenses these designs to third parties under the Windtec Solutions brand. It supplies power electronics and software-based control systems, and provides customer support services to wind turbine manufacturers. This segment's design portfolio comprises a range of drivetrains and power ratings of 2 MW and higher. American Superconductor Corporation was incorporated in 1987 and is headquartered in Ayer, Massachusetts.",Ayer,978 842 3000,MA,United States,[],http://www.amsc.com,1,114 East Main Street,978 842 3024,Specialty Industrial Machinery,-0.18672001,-0.27005,0.18704,-11395000,0.198,-0.24826,-17054000,24,buy,18454000,1620750,28,17.14,,1.769,-0.0939,3,27.33,3.462,-0.26242,30,55234000,4105000,91332000,1.95,USD,3.63,1.278,1.7,NMS,American Superconductor Corpora,American Superconductor Corporation,America/New_York,EDT,FALSE,-14400000,EQUITY,AMSC,finmb_34933,us_market,,3.897,,-20.872,,,-0.08,,28209900,,,,4.225,1727900,0.061,,1617148800,0.61414003,-24664000,-0.95,,,4.0568047,0.079,1680220800,,1625011200,5.6,1628812800,25734976,1.066666,355946272,2,,1427241600,1:10,,,,,5.2940664,1631664000,-1.22,,-214.25,,0.0634,1444220,,,,17.15,17.08,14.93964,,0,,17.25,,153550,17.15,14.787647,,17.08,,153550,,,,,,,16.99,USD,,122050,,,,483517664,,,285693,16.99,0,800,122050,31.78,,,11.25,0,FALSE,,1300,17.25,17.14,,https://logo.clearbit.com/amsc.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79297ca2-495a-373f-8171-080f8a91fccf,,,,,
30305,Technology,,"American Software, Inc. develops, markets, and supports a range of computer business application software products and services in the United States and internationally. It operates in three segments: Supply Chain Management (SCM), Information Technology Consulting (IT Consulting), and Other. The SCM segment offers supply chain optimization and retail planning solutions, including sales and operations planning, demand optimization, inventory optimization, manufacturing planning and scheduling, supply optimization, retail allocation and merchandise planning, and transportation optimization to streamline and optimize the forecasting, inventory, production, supply, allocation, distribution, and management of products between trading partners. It also provides cloud solutions for supply chain and product lifecycle management, quality control, vendor compliance, and enterprise resource planning for retailers and manufacturers; and advanced analytics and business intelligence solutions for the supply chain market. The IT Consulting segment offers IT staffing and consulting services, such as professional, product management, and project management outsourcing services; staff augmentation services in the areas of cloud, collaboration, network, and security; and social media and analytic marketing services. It also provides software enhancement, documentation, updates, customer education, consulting, systems integration services, maintenance, and support services. The Other segment offers purchasing and materials management, customer order processing, financial, e-commerce, human resource, and manufacturing solutions. The company markets its products through direct and indirect sales channels to the retail, apparel and footwear, consumer packaged goods, chemicals, oil and gas, life sciences, consumer electronics, industrial products, and other manufacturing industries. American Software, Inc. was founded in 1970 and is headquartered in Atlanta, Georgia.",Atlanta,404 261 4381,GA,United States,[],http://www.amsoftware.com,1,"470 East Paces Ferry Road, N.E.",404 264 5206,Software—Application,0.089499995,0.07261,0.54736,17756000,-0.024,0.03914,9971000,28.5,strong_buy,60980000,12545625,28.5,27.48,4.312,2.697,0.01564,1,28.5,1.275,0.0669,28.5,104664000,1560000,111408000,3.192,USD,3.422,2.592,1.5,NMS,"American Software, Inc.","American Software, Inc.",America/New_York,EDT,FALSE,-14400000,EQUITY,AMSWA,finmb_250510,us_market,,5.679,,63.45,,,0.36,,30886300,,,,3.733,537679,0.0164,,1619740800,1.15208,8089000,0.24,,,7.3613715,0.03165,1682812800,,1619740800,5.32,1619740800,28831144,0.49076,632658688,2,,648777600,3:02,,,,4.6,8.06776,1622160000,5.27,,76.33333,,0.0202,541269,,,,27.87,27.83,22.5959,0.015787585,1.8333,,27.87,,64666,27.87,25.447353,0.44,27.83,,64666,,,0.44,1628726400,,,27.17,USD,114.5,47100,,,,898813056,,,93578,27.17,0,900,47100,28.45,,3.33,14.37,0,FALSE,0.0196,2200,27.87,27.48,,https://logo.clearbit.com/amsoftware.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5bfd52e9-af83-3d5a-88c5-555889657fd2,,,,,
2116,Real Estate,5618,"American Tower, one of the largest global REITs, is a leading independent owner, operator and developer of multitenant communications real estate with a portfolio of approximately 181,000 communications sites.",Boston,617-375-7500,MA,United States,[],http://www.americantower.com,1,116 Huntington Avenue,617-375-7575,REIT—Specialty,0.64018995,0.25845,0.72565,4137200128,0.202,0.40366,5501000192,270,buy,5814300000,4112662528,303.5,284.45,0.65,0.564,0.04314,22,305,630.518,0.3824,345,1928000000,44343099392,8592799744,4.236,USD,19.275,0.495,2,NYQ,American Tower Corporation (REI,American Tower Corporation (REIT),America/New_York,EDT,TRUE,-14400000,EQUITY,AMT,finmb_24766,us_market,,18.967,,29.627,,,5.46,,454696000,,,,8.731,4424294,0.0097,,1609372800,0.92728996,2220800000,4.31,,,32.579315,0.00313,1672444800,,1625011200,3.34,1628812800,453593799,0.280423,1.62977E+11,2,,,,,,,0.673,15.051938,1631664000,3.24,,52.097073,,0.0111,4170622,,,,279.04,279.78,270.69827,0.016807625,0.97980005,,285.31,,1689600,279.04,279.3606,4.69,279.78,,1689600,,,5.24,1632700800,,,279,USD,65.99768,1496558,,,,1.29338E+11,,,1441560,279,0,1000,1496558,303.72,,1.8,197.5,0,FALSE,0.02,900,285.31,284.45,,https://logo.clearbit.com/americantower.com,11th Floor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93037c7a-3d3b-3a0c-bac0-a08bc747c258,,,,,
22602,Consumer Cyclical,,"American Woodmark Corporation manufactures and distributes kitchen, bath, and home organization products for the remodelling and new home construction markets in the United States. It offers made-to-order cabinetry in approximately 550 cabinet lines, which include 100 door designs in a range of painted or stained finishes, or engineered finishes under the Duraform name; and fronts made in various wood species, including maple, cherry, and oak, as well as engineered materials. The company also provides value-based assembled cabinet products for stock kitchen and bath; ready-to-assemble cabinetry for home organization; and countertops and accessories. In addition, it offers turnkey installation services to its direct builder customers through a network of eight service centers. The company sells its products under the American Woodmark, Timberlake, Shenandoah Cabinetry, Waypoint Living Spaces, Estate by RSI, Continental Cabinets, VillaBath by RSI, Stor-It-All, and Professional Cabinet Solutions brands, as well as private label brands, such as Hampton Bay, Glacier Bay, Style Selections, Allen + Roth, Home Decorators Collection, and Project Source. It markets its products directly to home centers and builders, as well as through independent dealers and distributors. The company was founded in 1980 and is headquartered in Winchester, Virginia.",Winchester,540 665 9100,VA,United States,[],http://www.americanwoodmark.com,1,561 Shady Elm Road,,"Furnishings, Fixtures & Appliances",0.12487,0.033689998,0.18306999,151763008,0.186,0.067389995,217770640,70.46,buy,319275000,2021000,84,68.88,-0.783,1.779,0.04507,5,83.89,87.683,0.081420004,98,91071000,651393984,1744013952,5.35,USD,102.368,1.079,2,NMS,American Woodmark Corporation,American Woodmark Corporation,America/New_York,EDT,FALSE,-14400000,EQUITY,AMWD,finmb_250549,us_market,,1.147,,9.186,,,8.69,,17001100,,,,43.642,176367,0.0104,,1619740800,0.96523005,58763000,3.449,,,1.5782962,0.01249,1682812800,,1619740800,2.15,1619740800,16845949,2.267391,2000424192,2,,1096243200,2:01,,,,-0.783,0.6714601,1622160000,1.89,,7.926352,,0.0163,239467,,,,69.45,69.33,81.15317,,0,,70.5932,,106016,69.45,67.155,,69.33,,106016,,,,1307577600,,,68.79,USD,19.971006,108556,,,,1171035776,,,126006,68.79,0,800,108556,108.81,,,64.08,0,FALSE,,1000,70.5932,68.88,,https://logo.clearbit.com/americanwoodmark.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b2a58174-48dc-3712-96e5-606f3c6d4f66,,,,,
98109-5210,Consumer Cyclical,1335000,"Amazon.com, Inc. engages in the retail sale of consumer products and subscriptions in North America and internationally. The company operates through three segments: North America, International, and Amazon Web Services (AWS). It sells merchandise and content purchased for resale from third-party sellers through physical and online stores. The company also manufactures and sells electronic devices, including Kindle, Fire tablets, Fire TVs, Rings, and Echo and other devices; provides Kindle Direct Publishing, an online service that allows independent authors and publishers to make their books available in the Kindle Store; and develops and produces media content. In addition, it offers programs that enable sellers to sell their products on its websites, as well as its stores; and programs that allow authors, musicians, filmmakers, skill and app developers, and others to publish and sell content. Further, the company provides compute, storage, database, analytics, machine learning, and other services, as well as fulfillment, advertising, publishing, and digital content subscriptions. Additionally, it offers Amazon Prime, a membership program, which provides free shipping of various items; access to streaming of movies and TV episodes; and other services. The company serves consumers, sellers, developers, enterprises, and content creators. Amazon.com, Inc. was founded in 1994 and is headquartered in Seattle, Washington.",Seattle,206-266-1000,WA,United States,[],http://www.amazon.com,1,410 Terry Avenue North,,Internet Retail,0.13382,0.06641,0.40679002,59322998784,0.272,0.06685,59320999936,3775,buy,1.52757E+11,16914750464,4100,3335.55,0.468,1.196,0.05988,51,4142.65,107.355,0.31229,5000,89894002688,1.23247E+11,4.43298E+11,177.502,USD,881.308,0.989,1.7,NMS,"Amazon.com, Inc.","Amazon.com, Inc.",America/New_York,EDT,TRUE,-14400000,EQUITY,AMZN,finmb_18749,us_market,,3.802,,28.411,,,72.27,,504324000,,,,205,5330390,0.0105,,1609372800,0.59739,29437999104,52.562,,,16.270975,0.13606,1672444800,,1625011200,1.84,1628812800,454348048,1.159259,1.68537E+12,2,,936230400,2:01,,,,0.484,3.794734,1631664000,1.81,,46.154007,,0.012200001,5094455,,,,3435.01,3421,3384.327,,0,,3429.84,,2981716,3435.01,3372.3845,,3421,,2981716,,,,,,,3331.3,USD,63.459343,3139053,,,,1.6822E+12,,,3041954,3331.3,0,2200,3139053,3773.08,,,2881,0,FALSE,,800,3429.84,3335.55,,https://logo.clearbit.com/amazon.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261fd26b-0151-3813-b0d0-97e4ed4c6505,,,,,
33301,Consumer Cyclical,21600,"AutoNation, Inc., through its subsidiaries, operates as an automotive retailer in the United States. The company operates through three segments: Domestic, Import, and Premium Luxury. It offers a range of automotive products and services, including new and used vehicles; and parts and services, such as automotive repair and maintenance, and wholesale parts and collision services. The company also provides automotive finance and insurance products comprising vehicle services and other protection products, as well as arranges finance for vehicle purchases through third-party finance sources. As of December 31, 2020, it owned and operated 315 new vehicle franchises from 230 stores located primarily in metropolitan markets in the Sunbelt region. The company also owned and operated 74 AutoNation-branded collision centers, 5 AutoNation USA used vehicle stores, 4 AutoNation-branded automotive auction operations, and 3 parts distribution centers. AutoNation, Inc. was founded in 1991 and is headquartered in Fort Lauderdale, Florida.",Fort Lauderdale,954 769 6000,FL,United States,[],http://www.autonation.com,1,200 SW 1st Avenue,,Auto & Truck Dealerships,0.06194,0.03946,0.17587,1620199936,0.265,0.05293,1339500032,70,buy,3584000000,2176499968,122.5,130.48,,1.016,0.07219,8,127.38,136.995,0.28258,171,350000000,4375499776,21626800128,4.349,USD,249.804,0.347,2.5,NYQ,"AutoNation, Inc.","AutoNation, Inc.",America/New_York,EDT,FALSE,-14400000,EQUITY,AN,finmb_112302,us_market,,0.529,,8.536,,,9.62,,80479800,,,,39.689,2683942,0.033299997,,1609372800,0.83021003,853500032,9.779,,,3.2875607,0.15791,1672444800,,1617148800,3.45,1619740800,55612347,1.65326,11433665536,2,,834364800,2:01,,,,,0.48555514,1622160000,0.35,,13.563409,,0.0538,2402924,,,,126,127.14,107.3754,,0,,132.89,,1361833,126,117.100586,,127.14,,1361833,,,,,,,126.3,USD,13.342876,1320028,,,,10501004288,,,1185832,126.3,0,1000,1320028,132.89,,,56.07,0,FALSE,,900,132.89,130.48,,https://logo.clearbit.com/autonation.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d9681d05-8605-32e9-8311-3da381f916fc,,,,,
43537,Consumer Defensive,2229,"The Andersons, Inc., an agriculture company, operates in trade, ethanol, plant nutrient, and rail sectors in the United States and internationally. The company's Trade segment operates grain elevators; stores grains; and provides grain marketing, risk management, and corn origination services to its customers and affiliated ethanol facilities. This segment also engages in the commodity merchandising business. Its Ethanol segment purchases and sells ethanol, as well as offers facility operations, risk management, and ethanol and coproducts marketing services to the ethanol plants it invests in and operates. The company's Plant Nutrient segment manufactures, distributes, and retails agricultural and related plant nutrients, and pelleted lime and gypsum products; and crop nutrients, crop protection chemicals, and seed products, as well as provides application and agronomic services to commercial and family farmers. It also offers warehousing, packaging, and manufacturing services to nutrient producers and other distributors; and manufactures and distributes various industrial products, such as nitrogen reagents for air pollution control systems that are used in coal-fired power plants, and water treatment and dust abatement products. In addition, this segment produces corncob-based products for laboratory animal bedding and private-label cat litter, as well as absorbents, blast cleaners, carriers, and polishers; professional lawn care products for golf course and turf care markets; fertilizer and weed and pest control products; pelleted lime, gypsum, and value add soil amendments; and specialty ag liquids, seed starters, zinc, and industrial liquids. Its Rail segment purchases, leases, manages, markets, sells, and repairs various types of railcars, locomotives, and barges; provides fleet management services to private railcar owners; and offers metal fabrication services. The Andersons, Inc. was founded in 1947 and is based in Maumee, Ohio.",Maumee,419 893 5050,OH,United States,[],http://www.andersonsinc.com,1,1947 Briarfield Boulevard,,Food Distribution,0.02957,0.00673,0.051659998,-291728992,0.422,0.00852,265828992,30,hold,404922000,-426955008,33,32.5,,1.27,0.01194,3,36,163.08,0.04368,45,42015000,1928504064,8991059968,1.286,USD,272.326,0.387,2.7,NMS,"The Andersons, Inc.","The Andersons, Inc.",America/New_York,EDT,FALSE,-14400000,EQUITY,ANDE,finmb_364264,us_market,,0.326,,11.04,,,2,,33231900,,,,29.722,351223,0.0106,,1609372800,0.79447,60479000,1.812,,,1.0934662,0.06777,1672444800,,1617148800,1.88,1623715200,30360673,0.696953,2934659072,2,,1392854400,3:02,,,,,0.1201234,1626307200,1.59,,16.25,,0.0153,501452,,,,31.96,32.08,29.793165,0.021902379,0.3825,,32.72,,118500,31.96,30.644411,0.7,32.08,,118500,,,0.7,1625184000,,,31.89,USD,17.935982,193481,,,,1080036736,,,141032,31.89,0,800,193481,34.41,,2.44,18.02,0,FALSE,0.0269,1100,32.72,32.5,,https://logo.clearbit.com/andersonsinc.com,PO Box 119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b44f80d6-c3c1-335e-ba3a-5a1eff1f4099,,,,,
95054,Technology,2613,"Arista Networks, Inc. develops, markets, and sells cloud networking solutions in the Americas, Europe, the Middle East, Africa, and the Asia-Pacific. The company's cloud networking solutions consist of extensible operating systems, a set of network applications, as well as gigabit Ethernet switching and routing platforms. It also provides post contract customer support services, such as technical support, hardware repair and parts replacement beyond standard warranty, bug fix, patch, and upgrade services. The company serves a range of industries comprising internet companies, service providers, financial services organizations, government agencies, media and entertainment companies, and others. It markets and sells its products through distributors, value-added resellers, system integrators, and original equipment manufacturer partners, as well as through its direct sales force. The company was formerly known as Arastra, Inc. and changed its name to Arista Networks, Inc. in October 2008. Arista Networks, Inc. was incorporated in 2004 and is headquartered in Santa Clara, California.",Santa Clara,408 547 5500,CA,United States,[],http://www.arista.com,1,5453 Great America Parkway,408 538 8920,Computer Hardware,0.32553002,0.27716,0.63869,920092032,0.308,0.30702,855745024,332,buy,1481886000,660543232,407.5,390.52,0.35,5.033,0.10569999,18,399.78,1.739,0.21638,447,3281702912,64295000,2628794112,42.777,USD,34.518,4.24,2.3,NYQ,"Arista Networks, Inc.","Arista Networks, Inc.",America/New_York,EDT,TRUE,-14400000,EQUITY,ANET,finmb_33348547,us_market,,9.373,,28.794,,,11.45,,76321800,,,,45.259,1385842,0.018099999,,1609372800,0.65334,728587008,8.533,,,8.62856,0.26667,1672444800,,1625011200,3.64,1626307200,56542460,1.146834,24639936512,2,,,,,,,0.36,11.33797,1628812800,2.73,,34.10655,,0.028800001,1573931,,,,395.48,394.67,354.59323,,0,,395.885,,352166,395.48,364.88266,,394.67,,352166,,,,,,,389.27,USD,45.76585,233026,,,,29805189120,,,397004,389.27,0,800,233026,396.85,,,200.35,0,FALSE,,800,395.885,390.52,,https://logo.clearbit.com/arista.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bbe42b96-ac16-33e3-9f09-5628654f1968,,,,,
